UID        PID  PPID  C STIME TTY          TIME CMD
root      1492     1  0 09:55 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1494  1492  0 09:55 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1496  1492  0 09:55 ?        00:00:00 /usr/sbin/apache2 -k start
nobody    1623   943  0 09:55 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1627     1  0 09:55 tty1     00:00:00 /sbin/getty -8 38400 tty1
root      1891  1214  0 09:55 ?        00:00:00 lightdm --session-child 12 19
root      1943     1  0 09:55 ?        00:00:00 /usr/lib/upower/upowerd
rtkit     1978     1  0 09:55 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
kangkai   2213     1  0 09:55 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kangkai   2215  1891  0 09:55 ?        00:00:00 init --user
kangkai   2274  2215  0 09:55 ?        00:00:00 ssh-agent -s
kangkai   2279  2215  0 09:55 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-fl8lhjmqA5
kangkai   2288  2215  0 09:55 ?        00:00:00 upstart-event-bridge
kangkai   2291  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/hud/window-stack-bridge
kangkai   2306  2215  0 09:55 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
kangkai   2310  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/hud/hud-service
kangkai   2313  2215  0 09:55 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
kangkai   2316  2215  0 09:55 ?        00:00:01 /usr/bin/fcitx
kangkai   2317  2215  0 09:55 ?        00:00:00 gnome-session --session=ubuntu
kangkai   2324  2313  0 09:55 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
kangkai   2330  2215  0 09:55 ?        00:00:00 //bin/dbus-daemon --fork --print-pid 7 --print-address 9 --config-file /usr/share/fcitx/dbus/daemon.conf
kangkai   2333  2215  0 09:55 ?        00:00:01 /usr/lib/unity/unity-panel-service
kangkai   2335  2215  0 09:55 ?        00:00:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-r6Jc9ULo2D,guid=93bb9d3741569b0ca6ca6a1a55a1c92a 2330
kangkai   2339  2215  0 09:55 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
